# Complete German Dictionary
# Generated from story and phrases
# Format: word | English | [IPA]
# Total words: 1399

ab | from | [ˈap]
wetter | weather | [vˈɛtɜ]
wichtig | important | [vˈɪçtɪç]
wichtigste | most important | [vˈɪçtɪçstə]
widerfährt | happens to | [vˈiːdɜfˌɛːɾt]
wie | how | [vˈiː]
wieder | again | [vˈiːdɜ]
wiedergefunden | recovered | [viːdɜɡəfˈʊndən]
wiederholen | repeat | [viːdɜhˈoːlən]
wiedersehen | goodbye | [viːdɜzˈeːən]
wiener | Viennese | [vˈiːnɜ]
wild | wild | [vˈɪlt]
willkommen | welcome | [vˈɪlkɔmən]
willst | want | [vˈɪlst]
wind | wind | [vˈɪnt]
winter | winter | [vˈɪntɜ]
wir | we | [vˈiːɾ]
wird | will | [vˈɪɾt]
wirklich | really | [vˈɪɾklɪç]
wirst | will | [vˈɪɾst]
wirtin | landlady | [vˈɪɾtɪn]
wissen | know | [vˈɪsən]
wo | where | [vˈoː]
woche | week | [vˈɔxə]
wohin | where to | [voːhˈiːn]
wohne | live | [vˈoːnə]
wohnung | apartment | [vˈoːnʊŋ]
wolken | clouds | [vˈɔlkən]
wolle | wool | [vˈɔlə]
wollte | wanted | [vˈɔltə]
wolltest | wanted | [vˈɔltəst]
worte | words | [vˈɔɾtə]
worüber | about what | [vˈoːryːbɜ]
wunder | miracle | [vˈʊndɜ]
wunderschön | beautiful | [vˈʊndɜʃˌøːn]
wunsch | wish | [vˈʊnʃ]
wurde | became | [vˈʊɐdə]
wächst | grows | [vˈɛkst]
während | while | [vˈɛːrənt]
wälder | forests | [vˈɛldɜ]
wände | walls | [vˈɛndə]
wäre | would be | [vˈɛːrə]
wärme | warmth | [vˈɛɾmə]
wärmeren | warmer | [vˈɛɾmərən]
zahlen | pay | [tsˈɑːlən]
zeichen | sign | [tsˈaɪçən]
zeigen | show | [tsˈaɪɡən]
zeigt | shows | [tsˈaɪkt]
zeit | time | [tsˈaɪt]
zerbrechlichkeit | fragility | [tsɛɾbrˈɛçlɪçkˌaɪt]
ziege | goat | [tsˈiːɡə]
zieht | pulls | [tsˈiːt]
zimmer | room | [tsˈɪmɜ]
zitternd | trembling | [tsˈɪtɛɾnt]
zu | to | [tsˈuː]
zucker | sugar | [tsˈʊkɜ]
zuerst | first | [tsuːˈeːɾst]
zug | train | [tsˈuːk]
zukunft | future | [tsuːkˈʊnft]
zukünfte | futures | [tsuːkˈʏnftə]
zulässt | allows | [tsuːlˈɛst]
zum | to the | [tsˈʊm]
zunehmend | increasingly | [tsuːnˈeːmənt]
zur | to the | [tsˈuːɾ]
zurechtkommen | cope | [tsuːrˈɛçtkɔmən]
zurück | back | [tsuːrˈʏk]
zurückkehrt | returns | [tsuːrˈʏkkˌeːɾt]
zusammen | together | [tsuːzˈamən]
zusammenbleiben | stay together | [tsuːzˈamənblˌaɪbən]
zusammenstellen | compile | [tsuːzˈamənʃtˌɛlən]
zuvor | before | [tsuːfˈɔɾ]
zwei | two | [tsvˈaɪ]
zweifel | doubt | [tsvˈaɪfəl]
zweifelst | doubt | [tsvˈaɪfəlst]
zweifelte | doubted | [tsvˈaɪfəltə]
zweimal | twice | [tsvˈaɪmɑːl]
zwingt | forces | [tsvˈɪŋt]
zwischenzeit | meantime | [tsvˈɪʃəntsˌaɪt]
zählt | counts | [tsˈɛːlt]
zärtlich | tender | [tsˈɛɾtlɪç]
zögerlich | hesitant | [tsˈøːɡɜlˌɪç]
zögernd | hesitating | [tsˈøːɡɛɾnt]
zögert | hesitates | [tsˈøːɡɜt]
züge | trains | [tsˈyːɡə]
ändern | change | [ˈɛndɜn]
ändert | changes | [ˈɛndɜt]
ängstlich | anxious | [ˈɛŋstlɪç]
öffentliche | public | [ˈœfəntlɪçə]
öffnet | opens | [ˈœfnət]
über | over | [ˈʏbɜ]
überall | everywhere | [ˌyːbɜˈal]
überleben | survive | [ˌyːbɜlˈeːbən]
überlebt | survived | [ˌyːbɜlˈeːpt]
überlegt | considers | [ˌyːbɜlˈeːkt]
übernachtung | overnight stay | [ˌyːbɜnˈaxtʊŋ]
überprüfen | check | [ˌyːbɜprˈyːfən]
überprüft | checked | [ˌyːbɜprˈʏft]
überrascht | surprised | [ˌyːbɜrˈaʃt]
überstanden | survived | [ˌyːbɜʃtˈandən]
überweisen | transfer | [ˌyːbɜvˈaɪzən]
überweisung | transfer | [ˌyːbɜvˈaɪzʊŋ]
überwältigt | overwhelmed | [ˌyːbɜvˈɛltɪçt]
ɡˈeːt | goes | [ɡˈeː (en)stɹˈɛs(de) ˈeː (en)lˈɛŋθənd(de) tˈeː]
ɡˈuːt | good | [ɡˈeː (en)stɹˈɛs(de) ˈuː (en)lˈɛŋθənd(de) tˈeː]
